Wall time,Step,Value
1710849186.237868,1848,62.6009521484375
1710849259.7653708,1852,66.16889953613281
1710849419.8417864,1861,71.86073303222656
1710849485.134657,1866,79.633544921875
1710849496.8029046,1867,76.8892593383789
1710849498.984656,1868,96.608154296875
1710849687.5330489,1884,61.711971282958984
1710849763.6866722,1889,108.6865463256836
1710849824.6017363,1896,97.40803527832031
1710850314.4838738,1900,105.85424041748047
1710850408.6491756,1903,103.71965789794922
1710850478.1914446,1909,109.23511505126953
1710850487.5399425,1910,111.51171112060547
1710850537.8301165,1914,119.31893920898438
1710850578.4268067,1919,119.00962829589844
1710850645.8902392,1925,123.99950408935547
1710850650.8687112,1926,118.41155242919922
1710850797.7781339,1937,133.85316467285156
1710850826.1786335,1941,127.17366790771484
1710850833.9370966,1942,140.88832092285156
1710850893.4728217,1946,127.19833374023438
1710850909.2270577,1948,136.05792236328125
1710851267.1867077,1954,132.071533203125
1710851320.0822628,1957,127.54000854492188
1710851378.8884044,1961,146.8329620361328
1710851414.0380962,1962,144.1385955810547
1710851444.0806758,1964,152.20033264160156
1710851452.6237938,1965,157.67295837402344
1710851487.327089,1967,143.63685607910156
1710851608.0084462,1978,153.29310607910156
1710851625.0328848,1980,156.14208984375
1710851738.7861028,1988,166.10238647460938
1710851745.150372,1989,177.0570068359375
1710851777.0074394,1992,158.5170135498047
1710852519.0239758,2027,179.68177795410156
1710852661.310335,2037,191.5212860107422
1710852785.2237635,2048,200.96841430664062
1710853290.2998335,2056,218.63157653808594
1710853401.9295208,2068,214.00823974609375
1710853432.8508055,2071,214.78927612304688
1710853519.2019124,2080,217.3691864013672
1710853592.8905358,2090,229.5443572998047
1710853663.038378,2098,225.19529724121094
1710853701.567471,2101,232.55470275878906
1710853738.6266282,2104,233.6361083984375
1710853828.6315076,2110,244.7341766357422
1710853894.692111,2115,247.48587036132812
1710853904.8597605,2116,257.12158203125
1710854128.6126637,2120,240.7126922607422
1710854139.0611823,2121,247.86834716796875
1710854205.5219145,2128,247.79039001464844
1710854340.1931376,2137,255.2932586669922
1710854372.7699614,2140,256.7773742675781
1710854713.6257787,2160,276.0232238769531
1710855275.5124934,2170,279.7789611816406
1710855473.6659229,2188,291.2385559082031
1710855645.0487046,2195,296.7962951660156
1710855729.0532649,2202,299.9461364746094
1710855830.1598973,2210,315.33160400390625
1710856253.6560977,2212,305.60089111328125
1710856293.041321,2216,304.5092468261719
1710856373.1950634,2222,313.6219787597656
1710856440.152242,2226,303.6572570800781
1710856596.4307802,2237,319.49859619140625
1710856615.5151317,2240,362.9755554199219
1710856675.5096505,2245,329.7103271484375
1710856872.2062984,2258,322.23529052734375
1710857352.002417,2282,343.9669494628906
1710857704.330277,2301,335.5896911621094
1710857732.8467176,2306,346.73382568359375
1710857743.5104048,2307,344.7069396972656
1710857989.912036,2317,354.9987487792969
1710858028.3529558,2320,336.2414245605469
